Year,State,Employment,AVG Price
2007,MD,1745756,$367294.3809
2007,ME,511104,$197104.3655
2007,MI,4576124,$141731.8093
2007,MN,341736,$217348.462
2007,MO,602744,$170429.9202
2007,MS,660903,$94735.134
2007,MT,240482,$231479.5179
2007,NC,3212109,$164486.9568
2007,NE,261627,$130926.2363
2007,NH,260416,$246258.2924
2007,NJ,584259,$397316.7329
2007,NM,762420,$213003.8756
2007,NV,1503228,$419305.5526
2007,NY,3184155,$309157.5468
2007,OH,4249680,$137797.4092
2007,OK,1437725,$71733.7208
2007,OR,781207,$275158.6151
2007,PA,3693468,$181396.0262
2007,SC,1765505,$152593.4901
2007,SD,255874,$139407.5898
2007,TN,1885141,$109482.3738
2007,TX,12469988,$174637.5174
2007,UT,1435377,$276509.0484
2007,VA,1467044,$292918.314
2007,VT,151286,$199952.6599
2007,WA,3380299,$350896.8516
2007,WI,2488444,$210532.0781
2007,WV,347497,$94670.4939
2007,WY,113839,$182756.8708
2008,AK,291434,$208049.6533
2008,AL,2007399,$123874.3757
2008,AR,854944,$96990.2273
2008,AZ,3264791,$221117.8715
2008,CA,20251018,$430590.4921
2008,CO,2782262,$253793.7582
2008,CT,2102375,$332548.6475
2008,DE,84602,$268881.3802
2008,FL,9984496,$230994.6413
2008,GA,4234270,$137130.6461
2008,HI,714385,$456324.158
2008,IA,967079,$124819.7801
2008,ID,645882,$213388.5556
2008,IL,1047563,$206318.8393
2008,IN,2095804,$123322.1978
2008,KS,691573,$156475.5196
2008,KY,553980,$96915.6153
2008,LA,2217917,$147594.0058
2008,MA,598669,$348074.0806
2008,MD,1742154,$339377.3951
2008,ME,509739,$194300.7081
2008,MI,4476087,$129776.9462
2008,MN,339364,$202402.6663
2008,MO,600758,$163476.3253
2008,MS,665398,$80322.6648
2008,MT,241283,$228447.7698
2008,NC,3209012,$166222.8306
2008,NE,261857,$128091.4693
2008,NH,258229,$235331.2791
2008,NJ,582452,$374839.9062
2008,NM,764595,$211982.5437
2008,NV,1479837,$347861.7521
2008,NY,3199051,$299620.8648
2008,OH,4209432,$134444.1646
2008,OK,1465362,$73290.0152
2008,OR,767692,$260759.2867
2008,PA,3698997,$179782.054
2008,SC,1764387,$150200.5061
2008,SD,261102,$146774.5239
2008,TN,1879355,$109740.9581
2008,TX,12799248,$176856.3312
2008,UT,1441638,$282929.1957
2008,VA,1467765,$269640.71
2008,VT,151588,$200715.455
2008,WA,3410052,$331014.9879
2008,WI,2481378,$208833.3239
2008,WV,348911,$98403.4289
2008,WY,116241,$177485.6807
2009,AK,291098,$206236.8964
2009,AL,1933955,$119370.3738
2009,AR,839008,$93766.3164
2009,AZ,3096476,$178449.2994
