Year,State,Population,AVG Price
2009,OH,6898830,$126123.8589
2009,OK,2353724,$71495.1118
2009,OR,1382525,$229902.7599
2009,PA,6282708,$162022.478
2009,SC,3048203,$134918.1115
2009,SD,351072,$141065.5695
2009,TN,3068653,$106537.7872
2009,TX,21690557,$147370.38
2009,UT,2314884,$243071.2134
2009,VA,2343749,$222628.6816
2009,VT,210435,$196119.7131
2009,WA,5496785,$272053.6081
2009,WI,3742445,$170376.9172
2009,WV,623228,$97539.2907
2009,WY,165668,$200129.1388
2010,AK,481782,$205764.2736
2010,AL,3522495,$111360.7468
2010,AR,1462173,$92013.6801
2010,AZ,6055970,$160756.143
2010,CA,36476682,$348763.9756
2010,CO,4360094,$229181.9871
2010,CT,3271843,$299047.9677
2010,DE,162940,$221182.8145
2010,FL,18160834,$173176.6251
2010,GA,7148976,$116148.7462
2010,HI,1112523,$394456.2247
2010,IA,1398389,$109060.7026
2010,ID,1081559,$168892.8619
2010,IL,1809145,$159473.7624
2010,IN,3428694,$109817.1736
2010,KS,1098064,$124452.5704
2010,KY,897388,$92584.933
2010,LA,3779429,$127196.6955
2010,MA,1042738,$328475.5945
2010,MD,2822569,$285169.1908
2010,ME,775789,$173782.9008
2010,MI,8012355,$106938.0959
2010,MN,493336,$165977.8538
2010,MO,954229,$135882.9641
2010,MS,1140543,$111127.3238
2010,MT,358578,$202195.1695
2010,NC,5516256,$147748.9151
2010,ND,111206,$138669.2775
2010,NE,376021,$118727.0617
2010,NH,401162,$213836.3133
2010,NJ,897294,$336730.6891
2010,NM,1374257,$174554.7007
2010,NV,2432959,$211571.1967
2010,NY,5594164,$276392.4155
2010,OH,6910593,$122264.1142
2010,OK,2390391,$70492.5533
2010,OR,1389792,$212999.0336
2010,PA,6303865,$158640.3598
2010,SC,3082455,$125543.7419
2010,SD,355813,$141674.5488
2010,TN,3099463,$104390.5004
2010,TX,22109563,$141485.5972
2010,UT,2360676,$225796.5478
2010,VA,2359076,$208036.1651
2010,VT,211648,$193357.7785
2010,WA,5561058,$253987.9711
2010,WI,3761073,$163312.622
2010,WV,625890,$94690.1151
2010,WY,167710,$193570.8693
2011,AK,486681,$205197.6801
2011,AL,3546830,$104128.0987
2011,AR,1483053,$89546.4196
2011,AZ,6101536,$144307.9058
2011,CA,36806455,$326300.9099
2011,CO,4433355,$220280.6322
2011,CT,3286233,$286327.9865
2011,DE,164997,$204446.6293
2011,FL,18358672,$160225.3204
2011,GA,7234714,$106607.8455
2011,HI,1130089,$388334.9665
2011,IA,1416837,$107345.1604
2011,ID,1096328,$153398.5874
2011,IL,1813253,$148571.0986
2011,IN,3456856,$107423.2178
2011,KS,1104230,$112475.8089
2011,KY,906586,$89499.5567
2011,LA,3814017,$122448.5074
2011,MA,1046856,$318044.8124
2011,MD,2846714,$272816.1837
2011,ME,778846,$168133.9529
2011,MI,8030767,$102107.5214
2011,MN,496073,$154161.5741
2011,MO,959309,$127015.2415
2011,MS,1152311,$110175.7925
2011,MT,361127,$194117.0669
2011,NC,5567854,$141004.9333
2011,ND,113327,$140364.2743
2011,NE,380748,$114968.343
2011,NH,403323,$209079.1468
2011,NJ,900786,$318916.9707
2011,NM,1386080,$163000.2699
2011,NV,2441659,$189559.1449
2011,NY,5612533,$269657.2718
2011,OH,6928363,$117145.9824
2011,OK,2418008,$68813.5131
2011,OR,1399336,$195189.7609
2011,PA,6329312,$151491.4326
2011,SC,3108496,$117870.1088
2011,SD,359994,$136917.2421
2011,TN,3133786,$102044.1039
2011,TX,22499206,$137713.7082
2011,UT,2398692,$212521.8114
2011,VA,2374966,$199327.1858
2011,VT,213820,$194187.914
2011,WA,5639340,$233725.2469
2011,WI,3779364,$153845.9116
2011,WV,628077,$93026.3426
2011,WY,168980,$189756.2059
2012,AK,493083,$193705.9231
2012,AL,3573989,$103658.6723
2012,AR,1499997,$90550.4105
2012,AZ,6164974,$147249.4894
2012,CA,37129995,$322696.3792
2012,CO,4503877,$219115.3578
2012,CT,3298554,$266576.7899
2012,DE,167072,$193089.3973
2012,FL,18594759,$160236.1403
2012,GA,7329056,$104703.7007
2012,HI,1147404,$378866.0953
2012,IA,1431806,$109572.6619
2012,ID,1109673,$153600.8759
2012,IL,1812529,$137381.7897
2012,IN,3484436,$103051.1562
2012,KS,1115446,$92921.5592
2012,KY,915301,$87940.6376
2012,LA,3842365,$121701.1326
2012,MA,1049471,$308995.8837
2012,MD,2873188,$266588.3073
2012,ME,781341,$157394.6633
2012,MI,8060811,$100812.2737
2012,MN,498437,$147118.1665
2012,MO,966753,$114688.728
2012,MS,1159032,$98096.9554
2012,MT,363886,$190720.1658
2012,NC,5624243,$138490.4928
2012,ND,116539,$136282.8675
2012,NE,385597,$114541.6232
2012,NH,405328,$202944.0048
2012,NJ,905804,$312754.346
2012,NM,1391715,$157189.8836
2012,NV,2469544,$181174.1903
2012,NY,5626184,$264780.4683
2012,OH,6948364,$115185.0744
2012,OK,2448073,$68651.7535
2012,OR,1405655,$189287.4098
2012,PA,6347805,$147960.264
2012,SC,3141035,$117679.4965
2012,SD,366997,$134318.5536
2012,TN,3173821,$102706.6129
2012,TX,22927442,$137376.8829
2012,UT,2437484,$208785.3793
2012,VA,2397213,$189319.7462
2012,VT,215032,$192456.5205
2012,WA,5707901,$219279.2331
2012,WI,3799413,$145939.3863
2012,WV,630227,$94140.9696
2012,WY,173255,$185633.5581
2013,AK,499022,$200386.3451
2013,AL,3600845,$108847.092
2013,AR,1515484,$92148.3362
2013,AZ,6222414,$165825.4399
2013,CA,37454311,$369550.6278
2013,CO,4578231,$232699.6808
2013,CT,3304214,$270297.2087
2013,DE,168711,$197717.4273
2013,FL,18832976,$176948.9587
2013,GA,7400862,$111193.7803
2013,HI,1162372,$408766.3517
2013,IA,1451541,$114901.5856
2013,ID,1125735,$165515.4858
2013,IL,1817076,$141301.5
2013,IN,3516305,$104341.6883
2013,KS,1117844,$96260.6241
2013,KY,924332,$89990.7939
2013,LA,3871710,$126519.5026
2013,MA,1051685,$322358.0215
2013,MD,2891606,$277405.5639
2013,ME,784589,$160633.9659
2013,MI,8090285,$109891.4528
2013,MN,501268,$155231.0119
2013,MO,974607,$118271.6338
2013,MS,1164168,$98100.9022
2013,MT,367864,$187953.9846
2013,NC,5680470,$139313.1757
2013,ND,120508,$155101.878
2013,NE,390252,$119379.1149
2013,NH,406704,$208032.9263
2013,NJ,908917,$325336.6779
2013,NM,1394450,$157590.7475
2013,NV,2498196,$190050.5222
2013,NY,5640237,$270488.7653
2013,OH,6984301,$118901.1703
2013,OK,2480675,$71163.536
2013,OR,1413102,$200254.8789
2013,PA,6361724,$144350.0958
2013,SC,3172416,$121119.2245
2013,SD,373949,$142997.4326
2013,TN,3214442,$106230.8453
2013,TX,23313709,$144274.3715
2013,UT,2480650,$227181.8214
2013,VA,2416253,$196138.3792
2013,VT,216378,$200743.7308
2013,WA,5773684,$239710.2764
2013,WI,3818991,$152043.5798
2013,WV,629805,$95844.18
2013,WY,176781,$192866.5823
2014,AK,498531,$204968.026
2014,AL,3626233,$114336.7921
2014,AR,1530530,$94235.8636
2014,AZ,6298146,$179997.5211
2014,CA,37798164,$416050.0854
2014,CO,4656270,$248564.9527
2014,CT,3310319,$278112.3289
2014,DE,171031,$209351.3181
2014,FL,19120636,$196747.7954
2014,GA,7499573,$117727.5312
2014,HI,1170569,$465307.5589
2014,IA,1471642,$118759.3116
2014,ID,1144630,$175677.2997
2014,IL,1810088,$148146.425
2014,IN,3541318,$108067.0003
2014,KS,1122064,$99770.6717
2014,KY,930187,$92442.3313
2014,LA,3895151,$130362.8956
2014,MA,1054906,$341102.7303
2014,MD,2908474,$290806.2775
